"Altendorf, Bahnhof",704.835,227.822,419
"Altendorf, Bitzi",705.848,227.605,418
"Altendorf, Letzi",704.355,228.007,411
"Altendorf, Lidwil",704.101,228.325,416
"Altendorf, Schweizerhofplatz",705.598,227.719,420
"Altendorf, Stoglen",705.244,227.797,415
"Altendorf, Talstrasse",704.528,227.845,410
"Altendorf, Tevag",703.737,228.652,421
Altenrhein,758.931,261.245,400
Altenrhein Schifflände,759.847,263.038,396
"Altenrhein, Am Rhein",759.977,262.156,397
"Altenrhein, Dorf",759.308,262.105,397
"Altenrhein, Flugplatz",759.187,261.898,397
"Altenrhein, Hegi",760.663,261.229,398
"Altenrhein, Markthalle",758.934,261.541,401
"Altenrhein, Schulhaus",759.552,262.092,398
Alter Zoll,757.353,248.500,617
"Alterswil FR, Beniwil",585.403,182.882,732
"Alterswil FR, Dorfplatz",586.358,182.684,758
"Alterswil FR, Galteren",584.047,183.519,700
"Alterswil FR, Geriwil",586.934,182.284,756
"Alterswil FR, Hofmatt",587.608,181.317,781
"Alterswil FR, Wengliswil",587.886,180.852,808
"Alterswil FR, Wilersguet",588.309,179.643,852
Alterswilen,728.999,274.600,519
"Altikon, Brückenwaage",700.990,270.060,398
"Altikon, Herten",702.494,269.565,398
Altishausen,729.772,272.776,555
"Altishofen, Bäckerei",640.137,227.382,482
